filepath,label,split
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_551.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_162.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_545.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_281.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_89.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_147.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_116.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_482.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_158.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_358.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_119.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_68.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_244.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_384.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_371.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_181.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_327.jpg,dogs,train
