epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.80971,0.57017,0.90566,1,0.30083,0.000535086,0.000535086,0.000535086
2,15.5423,0.28444,0.92453,1,0.20659,0.00108355,0.00108355,0.00108355
3,22.91,0.33944,0.77358,1,0.53953,0.00162469,0.00162469,0.00162469
4,30.2658,0.29504,0.71698,1,0.99163,0.00163399,0.00163399,0.00163399
5,37.5625,0.35999,0.71698,1,0.62708,0.00162299,0.00162299,0.00162299
6,44.7779,0.3389,0.75472,1,0.58895,0.00161199,0.00161199,0.00161199
7,52.4982,0.28998,0.67925,1,1.08056,0.00160099,0.00160099,0.00160099
8,60.2279,0.46989,0.69811,1,0.94203,0.00158998,0.00158998,0.00158998
9,68.0595,0.38542,0.69811,1,0.54424,0.00157898,0.00157898,0.00157898
10,75.8592,0.36415,0.71698,1,0.64969,0.00156798,0.00156798,0.00156798
11,83.9034,0.34,0.83019,1,0.54234,0.00155698,0.00155698,0.00155698
12,91.4803,0.3568,0.84906,1,0.61136,0.00154598,0.00154598,0.00154598
13,99.0528,0.30405,0.77358,1,0.53932,0.00153497,0.00153497,0.00153497
14,106.574,0.2502,0.75472,1,0.46353,0.00152397,0.00152397,0.00152397
15,114.134,0.31835,0.84906,1,0.30113,0.00151297,0.00151297,0.00151297
16,121.636,0.22643,0.81132,1,0.66836,0.00150197,0.00150197,0.00150197
17,129.281,0.27065,0.90566,1,0.23517,0.00149096,0.00149096,0.00149096
18,136.807,0.21037,0.81132,1,0.39188,0.00147996,0.00147996,0.00147996
19,144.375,0.25067,0.79245,1,0.43372,0.00146896,0.00146896,0.00146896
20,152.046,0.22733,0.81132,1,0.3252,0.00145796,0.00145796,0.00145796
21,159.753,0.20126,0.77358,1,0.4815,0.00144696,0.00144696,0.00144696
22,167.281,0.22113,0.83019,1,0.5273,0.00143595,0.00143595,0.00143595
23,174.822,0.25033,0.84906,1,0.28602,0.00142495,0.00142495,0.00142495
